Period ,YTD ,,P01,P01,P01,P01,P02,P02,P02,P02,P03,P03,P03,P03,P04,P04,P04,P04,P05,P05,P05,P05,P06,P06,P06,P06,P07,P07,P07,P07,P08,P08,P08,P08,P09,P09,P09,P09,P10,P10,P10,P10,P11,P11,P11,P11,P12,P12,P12,P12,P13,P13,P13,P13,P13
Week,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistics Warehouse Labour Anlaysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget,"861,708",,"51,966","43,900","43,336","43,622","47,222","54,020","53,355","50,357","53,344","54,194","73,778","63,385","61,929","68,466","56,358","42,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual,"780,158",,"59,446","69,615","42,287","29,913","41,662","42,026","51,397","45,148","42,228","41,595","57,287","56,744","54,471","86,944","57,719","1,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bud Var,"81,551",,"(7,481)","(25,715)","1,049","13,709","5,560","11,994","1,958","5,209","11,116","12,599","16,491","6,642","7,458","(18,477)","(1,361)","40,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volume ,"(1,127)",,"10,196","16,146",0,"(1,291)",2114,"(2,804)","1,741",0,"(2,494)","(9,671)","(19,579)","(2,144)","(3,691)","8,648","(2,104)","3,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex Bud,"860,581",,"62,161","60,046","43,336","42,331","49,336","51,216","55,096","50,357","50,850","44,524","54,199","61,242","58,238","77,114","54,253","46,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual,"780,158",,"59,446","69,615","42,287","29,913","41,662","42,026","51,397","45,148","42,228","41,595","57,287","56,744","54,471","86,944","57,719","1,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex Bud VAR,"80,423",,"2,715","(9,569)","1,049","12,418","7,674","9,190","3,699","5,209","8,622","2,929","(3,087)","4,498","3,767","(9,829)","(3,466)","44,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod,"(36,589)",,"(2,184)","(6,718)","1,125","1,412","3,362",197,"(1,083)",10,(45),"(3,146)","(6,801)","(3,166)","(3,633)","(9,062)","(5,877)",(980),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,"44,626",,"1,343",862,"2,012","(1,236)","2,166","3,429","2,290","6,712","4,069","1,308","1,425","8,293","4,847","2,747","2,916","1,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday ,"11,875",,"3,274",9,"(1,840)",(684),"1,126","1,755","2,156",717,"2,349","2,037",944,"1,527",(2),"1,385","(2,355)",(524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absence,"15,856",,81,(197),152,"1,126",991,"1,940","1,540","1,594","1,030",(466),"1,335","1,184","1,774","1,435","1,020","1,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rate,"44,656",,202,"(3,526)",(400),"11,799",29,"1,870","(1,204)","(3,825)","1,219","3,196",10,"(3,340)",781,"(6,335)",830,"43,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,6,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance ,"80,429",,"2,715","(9,569)","1,049","12,418","7,674","9,190","3,699","5,209","8,622","2,929","(3,086)","4,499","3,768","(9,828)","(3,465)","44,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month End Adj.,"46,910",,,,,"12,361",,,,"(4,630)",0,0,0,"(5,207)",0,0,0,"44,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act. Performance,"80,429",,"2,715","(9,569)","1,049","12,418","7,674","9,190","3,699","5,209","8,622","2,929","(3,086)","4,499","3,768","(9,828)","(3,465)","44,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
